POS,SentenceID
"[('The', 'DT'), ('Empire', 'NNP'), ('of', 'IN'), ('Trebizond', 'NNP'), (',', ','), ('which', 'WDT'), ('had', 'VBD'), ('split', 'VBN'), ('away', 'RB'), ('from', 'IN'), ('the', 'DT'), ('Byzantine', 'NNP'), ('Empire', 'NNP'), ('in', 'IN'), ('1204', 'CD'), (',', ','), ('became', 'VBD'), ('the', 'DT'), ('last', 'JJ'), ('remnant', 'NN'), ('and', 'CC'), ('last', 'JJ'), ('de', 'FW'), ('facto', 'FW'), ('successor', 'NN'), ('state', 'NN'), ('to', 'TO'), ('the', 'DT'), ('Byzantine', 'NNP'), ('Empire', 'NNP'), ('.', '.')]",6d9addb6-3584-445c-a03d-66807e2bdcf3
"[('An', 'DT'), ('adherent', 'NN'), ('of', 'IN'), ('Islam', 'NNP'), ('is', 'VBZ'), ('called', 'VBN'), ('a', 'DT'), ('Muslim', 'NNP'), ('.', '.')]",2137a428-bebd-4d4e-ab24-b26cc8793fb4
"[('NASA', 'NNP'), ('reports', 'NNS'), ('at', 'IN'), ('the', 'DT'), ('time', 'NN'), ('questioned', 'VBD'), ('Perkin-Elmer', 'NNP'), (""'s"", 'POS'), ('managerial', 'JJ'), ('structure', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('polishing', 'NN'), ('began', 'VBD'), ('to', 'TO'), ('slip', 'VB'), ('behind', 'IN'), ('schedule', 'NN'), ('and', 'CC'), ('over', 'IN'), ('budget', 'NN'), ('.', '.')]",8fd5250a-e9eb-45fa-bd43-9a724b4b1cea
"[('He', 'PRP'), ('went', 'VBD'), ('on', 'IN'), ('to', 'TO'), ('own', 'VB'), ('thirteen', 'JJ'), ('textile', 'NN'), ('mills', 'NNS'), ('.', '.')]",1efabcbc-83ae-4b99-a4b8-90f6fb528a6f
"[('The', 'DT'), ('Democratic', 'JJ'), ('Republic', 'NNP'), ('of', 'IN'), ('the', 'DT'), ('Congo', 'NNP'), ('is', 'VBZ'), ('often', 'RB'), ('referred', 'VBN'), ('to', 'TO'), ('as', 'IN'), ('Congo', 'NNP'), ('.', '.')]",a44a407a-8d37-4505-a189-b5422cfc0aee
"[('In', 'IN'), ('other', 'JJ'), ('places', 'NNS'), ('in', 'IN'), ('Asia', 'NNP'), ('groups', 'NNS'), ('are', 'VBP'), ('also', 'RB'), ('known', 'VBN'), ('as', 'IN'), ('Black', 'NNP'), ('Hmong', 'NNP'), ('(', '('), ('Hmoob', 'NNP'), ('Dub/Moob', 'NNP'), ('Dlub', 'NNP'), ('or', 'CC'), ('Hmong', 'NNP'), ('Den', 'NNP'), (')', ')'), (',', ','), ('Striped', 'NNP'), ('Hmong', 'NNP'), ('(', '('), ('Hmoob', 'NNP'), ('Txaij', 'NNP'), ('or', 'CC'), ('Hmoob', 'NNP'), ('Quas', 'NNP'), ('Npab', 'NNP'), (')', ')'), (',', ','), ('Hmong', 'NNP'), ('Shi', 'NNP'), (',', ','), ('Hmong', 'NNP'), ('Pe', 'NNP'), (',', ','), ('Hmong', 'NNP'), ('Pua', 'NNP'), (',', ','), ('and', 'CC'), ('Hmong', 'NNP'), ('Xau', 'NNP'), (',', ','), ('Hmong', 'NNP'), ('Xanh', 'NNP'), ('(', '('), ('Green', 'NNP'), ('Hmong', 'NNP'), (')', ')'), (',', ','), ('Hmong', 'NNP'), ('Do', 'NNP'), ('(', '('), ('Red', 'NNP'), ('Hmong', 'NNP'), (')', ')'), (',', ','), ('Na', 'NNP'), ('Mieo', 'NNP'), ('and', 'CC'), ('various', 'JJ'), ('other', 'JJ'), ('subgroups', 'NNS'), ('.', '.')]",c2a2629c-4ac4-4d27-bccd-7b9ab17767c2
"[('On', 'IN'), ('20', 'CD'), ('March', 'NNP'), (',', ','), ('NISA', 'NNP'), ('announced', 'VBD'), ('that', 'IN'), ('both', 'DT'), ('reactors', 'NNS'), ('had', 'VBD'), ('been', 'VBN'), ('returned', 'VBN'), ('to', 'TO'), ('a', 'DT'), ('condition', 'NN'), ('of', 'IN'), ('cold', 'JJ'), ('shutdown', 'NN'), ('.', '.')]",dc1193f2-f86b-414b-8269-a5183c0b6387
"[('The', 'DT'), ('four', 'CD'), ('civilizations', 'NNS'), ('were', 'VBD'), ('ancient', 'JJ'), ('China', 'NNP'), (',', ','), ('Babylon', 'NNP'), (',', ','), ('ancient', 'JJ'), ('India', 'NNP'), ('and', 'CC'), ('ancient', 'JJ'), ('Egypt', 'NNP'), ('.', '.')]",488d7993-3ad8-4719-ac32-7f0734ca8dc3
"[('Individual', 'JJ'), ('features', 'NNS'), ('include', 'VBP'), ('sawtooth', 'JJ'), ('roofs', 'NNS'), (',', ','), ('clerestory', 'NN'), ('windows', 'NNS'), (',', ','), ('light', 'JJ'), ('shelves', 'NNS'), (',', ','), ('skylights', 'NNS'), ('and', 'CC'), ('light', 'JJ'), ('tubes', 'NNS'), ('.', '.')]",c3814495-8c9d-434f-a804-e7a2160e7104
"[('Around', 'IN'), ('1100', 'CD'), ('BC', 'NNP'), ('the', 'DT'), ('Mycenaean', 'NNP'), ('civilization', 'NN'), ('collapsed', 'VBD'), ('.', '.')]",0d87a2fb-d44d-43a5-aa01-fa24a550df15
"[('The', 'DT'), ('average', 'NN'), ('would', 'MD'), ('end', 'VB'), ('off', 'RP'), ('the', 'DT'), ('decade', 'NN'), ('near', 'IN'), ('the', 'DT'), ('vicinity', 'NN'), ('of', 'IN'), ('the', 'DT'), ('100', 'CD'), ('point', 'NN'), ('level', 'NN'), ('.', '.')]",a1e63aab-3bdb-4783-b2c8-cb2e57a8cad6
"[('Other', 'JJ'), ('famous', 'JJ'), ('tozama', 'NN'), ('clans', 'NNS'), ('included', 'VBD'), ('the', 'DT'), ('Mori', 'NNP'), ('of', 'IN'), ('Ch\xc5\x8dsh\xc5\xab', 'NNP'), (',', ','), ('the', 'DT'), ('Shimazu', 'NNP'), ('of', 'IN'), ('Satsuma', 'NNP'), (',', ','), ('the', 'DT'), ('Date', 'NNP'), ('of', 'IN'), ('Sendai', 'NNP'), (',', ','), ('the', 'DT'), ('Uesugi', 'NNP'), ('of', 'IN'), ('Yonezawa', 'NNP'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('Hachisuka', 'NNP'), ('of', 'IN'), ('Awa', 'NNP'), ('.', '.')]",c9972cc5-9607-4f5d-bc32-98ebd98910ef
"[('Nine', 'CD'), ('years', 'NNS'), ('earlier', 'RB'), (',', ','), ('he', 'PRP'), ('had', 'VBD'), ('said', 'VBD'), (',', ','), (""'Rock"", 'NNP'), (""'n"", 'NNP'), (""'"", 'POS'), ('roll', 'NN'), ('has', 'VBZ'), ('been', 'VBN'), ('around', 'IN'), ('for', 'IN'), ('many', 'JJ'), ('years', 'NNS'), ('.', '.')]",3acbcc5c-436c-44a5-a71b-145e9f14c96e
"[('By', 'IN'), ('using', 'VBG'), (',', ','), ('for', 'IN'), ('example', 'NN'), (',', ','), ('feature-oriented', 'JJ'), ('scanning', 'VBG'), ('-', ':'), ('positioning', 'NN'), ('approach', 'NN'), (',', ','), ('atoms', 'NNS'), ('can', 'MD'), ('be', 'VB'), ('moved', 'VBN'), ('around', 'RB'), ('on', 'IN'), ('a', 'DT'), ('surface', 'NN'), ('with', 'IN'), ('scanning', 'VBG'), ('probe', 'NN'), ('microscopy', 'NN'), ('techniques', 'NNS'), ('.', '.')]",1c2c847b-ce7c-476e-b299-c58b989b4ef1
"[('Later', 'RB'), (',', ','), ('on', 'IN'), ('20', 'CD'), ('May', 'NNP'), ('1793', 'CD'), (',', ','), ('women', 'NNS'), ('were', 'VBD'), ('at', 'IN'), ('the', 'DT'), ('fore', 'NN'), ('of', 'IN'), ('a', 'DT'), ('crowd', 'NN'), ('that', 'WDT'), ('demanded', 'VBD'), (""'bread"", 'CD'), ('and', 'CC'), ('the', 'DT'), ('Constitution', 'NNP'), ('of', 'IN'), ('1793', 'CD'), ('.', '.'), (""'"", ""''"")]",a5f51711-b0f5-40f6-90fb-5a5dfddf48e1
"[('Economists', 'NNS'), ('debate', 'VBP'), ('the', 'DT'), ('level', 'NN'), ('of', 'IN'), ('debt', 'NN'), ('relative', 'NN'), ('to', 'TO'), ('GDP', 'NNP'), ('that', 'IN'), ('signals', 'VBZ'), ('a', 'DT'), (""'red"", 'JJ'), ('line', 'NN'), (""'"", ""''""), ('or', 'CC'), ('dangerous', 'JJ'), ('level', 'NN'), (',', ','), ('or', 'CC'), ('if', 'IN'), ('any', 'DT'), ('such', 'JJ'), ('level', 'NN'), ('exists', 'NNS'), ('.', '.')]",1b2b465d-9f52-4738-a779-82c8eeabc5a1
"[('A', 'DT'), ('third', 'JJ'), ('hypothesis', 'NN'), ('was', 'VBD'), ('that', 'IN'), ('the', 'DT'), ('explosion', 'NN'), ('was', 'VBD'), ('caused', 'VBN'), ('by', 'IN'), ('steam', 'NN'), ('.', '.')]",6b14153c-f9bd-4411-a764-19c1bd7e91d3
"[('A', 'DT'), ('material', 'NN'), ('such', 'JJ'), ('as', 'IN'), ('gold', 'NN'), (',', ','), ('which', 'WDT'), ('is', 'VBZ'), ('chemically', 'RB'), ('inert', 'JJ'), ('at', 'IN'), ('normal', 'JJ'), ('scales', 'NNS'), (',', ','), ('can', 'MD'), ('serve', 'VB'), ('as', 'IN'), ('a', 'DT'), ('potent', 'JJ'), ('chemical', 'JJ'), ('catalyst', 'NN'), ('at', 'IN'), ('nanoscales', 'NNS'), ('.', '.')]",63e549cb-9b03-4762-8e43-7cdec4b6ca5c
"[('When', 'WRB'), ('Alexander', 'NNP'), ('was', 'VBD'), ('thirteen', 'JJ'), ('years', 'NNS'), ('old', 'JJ'), (',', ','), ('Philip', 'NNP'), ('began', 'VBD'), ('to', 'TO'), ('search', 'VB'), ('for', 'IN'), ('a', 'DT'), ('tutor', 'NN'), ('.', '.')]",1d3f2e3c-58b0-4b33-a2c0-c0000bcc9af2
"[('While', 'IN'), ('discussing', 'VBG'), ('labor-intensive', 'JJ'), ('projects', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('waterworks', 'NN'), ('and', 'CC'), ('making', 'VBG'), ('steel', 'NN'), (',', ','), ('Chang', 'NNP'), ('claims', 'VBZ'), ('Mao', 'NNP'), ('said', 'VBD'), ('to', 'TO'), ('his', 'PRP$'), ('inner', 'JJ'), ('circle', 'NN'), ('in', 'IN'), ('November', 'NNP'), ('1958', 'CD'), (':', ':'), (""'Working"", 'VBG'), ('like', 'IN'), ('this', 'DT'), (',', ','), ('with', 'IN'), ('all', 'PDT'), ('these', 'DT'), ('projects', 'NNS'), (',', ','), ('half', 'NN'), ('of', 'IN'), ('China', 'NNP'), ('may', 'MD'), ('well', 'RB'), ('have', 'VB'), ('to', 'TO'), ('die', 'VB'), ('.', '.')]",ea901b1e-d0c6-44a6-abf6-3ac02067c615
"[('Marginal', 'JJ'), ('crevasses', 'NNS'), ('are', 'VBP'), ('usually', 'RB'), ('largely', 'RB'), ('transverse', 'JJ'), ('to', 'TO'), ('flow', 'VB'), ('.', '.')]",40fbd0ff-f838-4c94-bae4-c349cea0fdae
"[('In', 'IN'), ('1869', 'CD'), (',', ','), ('he', 'PRP'), ('graduated', 'VBD'), ('with', 'IN'), ('a', 'DT'), ('Ph.D.', 'NNP'), ('from', 'IN'), ('the', 'DT'), ('University', 'NNP'), ('of', 'IN'), ('Zurich', 'NNP'), (';', ':'), ('once', 'RB'), ('there', 'RB'), (',', ','), ('he', 'PRP'), ('became', 'VBD'), ('a', 'DT'), ('favorite', 'JJ'), ('student', 'NN'), ('of', 'IN'), ('Professor', 'NNP'), ('August', 'NNP'), ('Kundt', 'NNP'), (',', ','), ('whom', 'WP'), ('he', 'PRP'), ('followed', 'VBD'), ('to', 'TO'), ('the', 'DT'), ('University', 'NNP'), ('of', 'IN'), ('Strassburg', 'NNP'), ('in', 'IN'), ('1873', 'CD'), ('.', '.')]",92ce5af9-ae51-4c92-99c8-55ceae5f832e
"[('This', 'DT'), ('glacier', 'NN'), ('type', 'NN'), ('undergoes', 'JJ'), ('centuries-long', 'JJ'), ('cycles', 'NNS'), ('of', 'IN'), ('advance', 'NN'), ('and', 'CC'), ('retreat', 'NN'), ('that', 'WDT'), ('are', 'VBP'), ('much', 'RB'), ('less', 'RBR'), ('affected', 'JJ'), ('by', 'IN'), ('the', 'DT'), ('climate', 'NN'), ('changes', 'NNS'), ('currently', 'RB'), ('causing', 'VBG'), ('the', 'DT'), ('retreat', 'NN'), ('of', 'IN'), ('most', 'JJS'), ('other', 'JJ'), ('glaciers', 'NNS'), ('.', '.')]",dd867eeb-154e-4aa3-bf26-0164fc7d7f7a
"[('It', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('only', 'RB'), ('writing', 'VBG'), ('system', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Pre-Columbian', 'JJ'), ('New', 'NNP'), ('World', 'NNP'), ('which', 'WDT'), ('is', 'VBZ'), ('known', 'VBN'), ('to', 'TO'), ('represent', 'VB'), ('the', 'DT'), ('spoken', 'JJ'), ('language', 'NN'), ('of', 'IN'), ('its', 'PRP$'), ('community', 'NN'), ('.', '.')]",5cc17cc7-f118-49f8-b854-388f4114abfd
"[('It', 'PRP'), ('is', 'VBZ'), ('still', 'RB'), ('the', 'DT'), ('only', 'JJ'), ('route', 'NN'), ('for', 'IN'), ('ships', 'NNS'), ('which', 'WDT'), ('are', 'VBP'), ('too', 'RB'), ('large', 'JJ'), ('for', 'IN'), ('the', 'DT'), ('canal', 'NN'), ('.', '.')]",1a4afe89-2f31-4abd-b5a9-133e6bfd507f
"[('The', 'DT'), ('thin', 'JJ'), ('air', 'NN'), ('contains', 'VBZ'), ('only', 'RB'), ('60', 'CD'), ('%', 'NN'), ('of', 'IN'), ('the', 'DT'), ('oxygen', 'NN'), ('available', 'JJ'), ('at', 'IN'), ('sea', 'NN'), ('level', 'NN'), ('.', '.')]",937ae8b4-b1dd-4433-bcf8-a12c728b68db
"[('Over', 'IN'), ('the', 'DT'), ('years', 'NNS'), (',', ','), ('the', 'DT'), ('length', 'NN'), ('of', 'IN'), ('the', 'DT'), ('interval', 'NN'), ('has', 'VBZ'), ('increased', 'VBN'), (',', ','), ('which', 'WDT'), ('may', 'MD'), ('be', 'VB'), ('the', 'DT'), ('result', 'NN'), ('of', 'IN'), ('earthquakes', 'NNS'), ('affecting', 'VBG'), ('subterranean', 'JJ'), ('water', 'NN'), ('levels', 'NNS'), ('.', '.')]",d2b0118f-f708-410b-ba1a-fffff6089ceb
"[('The', 'DT'), ('Doha', 'NNP'), ('Development', 'NNP'), ('Round', 'NNP'), ('was', 'VBD'), ('launched', 'VBN'), ('at', 'IN'), ('the', 'DT'), ('conference', 'NN'), ('.', '.')]",ac9fd6d8-4c4f-4dfa-a7dc-f4936e048574
"[('The', 'DT'), ('Muslims', 'NNP'), ('set', 'VBD'), ('an', 'DT'), ('ambush', 'NN'), ('for', 'IN'), ('them', 'PRP'), ('at', 'IN'), ('Badr', 'NNP'), ('.', '.')]",78342274-eb66-4778-8298-a1ccf72f3a9a
"[('When', 'WRB'), ('these', 'DT'), ('principles', 'NNS'), ('are', 'VBP'), ('written', 'VBN'), ('down', 'RP'), ('into', 'IN'), ('a', 'DT'), ('single', 'JJ'), ('or', 'CC'), ('set', 'NN'), ('of', 'IN'), ('legal', 'JJ'), ('documents', 'NNS'), (',', ','), ('those', 'DT'), ('documents', 'NNS'), ('may', 'MD'), ('be', 'VB'), ('said', 'VBD'), ('to', 'TO'), ('comprise', 'VB'), ('a', 'DT'), ('written', 'VBN'), ('constitution', 'NN'), ('.', '.')]",716c6386-190f-4586-8575-f6e1d87c6ac9
"[('Julius', 'NNP'), ('Caesar', 'NNP'), ('had', 'VBD'), ('been', 'VBN'), ('preparing', 'VBG'), ('to', 'TO'), ('invade', 'VB'), ('Parthia', 'NNP'), (',', ','), ('the', 'DT'), ('Caucasus', 'NNP'), ('and', 'CC'), ('Scythia', 'NNP'), (',', ','), ('and', 'CC'), ('then', 'RB'), ('march', 'VB'), ('back', 'RB'), ('to', 'TO'), ('Germania', 'NNP'), ('through', 'IN'), ('Eastern', 'NNP'), ('Europe', 'NNP'), ('.', '.')]",062364b1-964c-4c44-93cd-1d3d740e00bc
"[('Potency', 'NN'), ('specifies', 'VBZ'), ('the', 'DT'), ('differentiation', 'NN'), ('potential', 'NN'), ('(', '('), ('the', 'DT'), ('potential', 'NN'), ('to', 'TO'), ('differentiate', 'VB'), ('into', 'IN'), ('different', 'JJ'), ('cell', 'NN'), ('types', 'NNS'), (')', ')'), ('of', 'IN'), ('the', 'DT'), ('stem', 'NN'), ('cell', 'NN'), ('.', '.')]",11b0b6d9-5d83-4e14-910e-61ffdbfd7fc0
"[('The', 'DT'), ('operative', 'JJ'), ('attitude', 'NN'), ('may', 'MD'), ('have', 'VB'), ('been', 'VBN'), ('summed', 'VBN'), ('up', 'RP'), ('best', 'JJS'), ('by', 'IN'), ('the', 'DT'), ('response', 'NN'), ('Leiber', 'NNP'), ('and', 'CC'), ('Stoller', 'NNP'), ('received', 'VBD'), ('when', 'WRB'), ('they', 'PRP'), ('brought', 'VBD'), ('a', 'DT'), ('serious', 'JJ'), ('film', 'NN'), ('project', 'NN'), ('for', 'IN'), ('Presley', 'NNP'), ('to', 'TO'), ('Parker', 'NNP'), ('and', 'CC'), ('the', 'DT'), ('Hill', 'NNP'), ('and', 'CC'), ('Range', 'NNP'), ('owners', 'NNS'), ('for', 'IN'), ('their', 'PRP$'), ('consideration', 'NN'), ('.', '.')]",d787ab16-623b-4627-8aac-74a9f6b7bf8d
"[('Recently', 'RB'), (',', ','), ('organic', 'JJ'), ('clothing', 'NN'), ('has', 'VBZ'), ('become', 'VBN'), ('widely', 'RB'), ('available', 'JJ'), ('.', '.')]",72ae55b1-2e21-41bf-b3d7-a250180f034c
"[('Of', 'IN'), ('the', 'DT'), ('twenty', 'NN'), ('languages', 'VBZ'), ('with', 'IN'), ('the', 'DT'), ('largest', 'JJS'), ('numbers', 'NNS'), ('of', 'IN'), ('native', 'JJ'), ('speakers', 'NNS'), ('according', 'VBG'), ('to', 'TO'), ('SIL', 'NNP'), ('Ethnologue', 'NNP'), (',', ','), ('twelve', 'EX'), ('are', 'VBP'), ('Indo-European', 'JJ'), (':', ':'), ('Spanish', 'JJ'), (',', ','), ('English', 'NNP'), (',', ','), ('Hindi', 'NNP'), (',', ','), ('Portuguese', 'NNP'), (',', ','), ('Bengali', 'NNP'), (',', ','), ('Russian', 'NNP'), (',', ','), ('German', 'NNP'), (',', ','), ('Marathi', 'NNP'), (',', ','), ('French', 'NNP'), (',', ','), ('Italian', 'NNP'), (',', ','), ('Punjabi', 'NNP'), (',', ','), ('and', 'CC'), ('Urdu', 'NNP'), (',', ','), ('accounting', 'NN'), ('for', 'IN'), ('over', 'IN'), ('2.7', 'CD'), ('billion', 'CD'), ('native', 'JJ'), ('speakers', 'NNS'), ('.', '.')]",f6e186a9-649d-4e3d-a1f9-4d0ee02628be
